shortTitle,url,docType,,,,,
Alibaba/Global MediXchange for Combating COVID-19,https://covid-19.alibabacloud.com/,pdf,,,,,
BJGPLife,https://bjgplife.com/,pdf,,,,,
Trisha Greenhalgh twitter,https://twitter.com/trishgreenhalgh,twitter,,,,,
BMJ,https://www.bmj.com/coronavirus,various links,,,,,
UK Government Clinical Guidelines,https://www.gov.uk/government/collections/wuhan-novel-coronavirus,various links,,,,,
Red Whale/GP Update,https://www.gp-update.co.uk/updates,pdf,,,,,
NB Medical Education,https://www.nbmedical.com/downloads,pdf,,,,,
RCGP,https://www.rcgp.org.uk/policy/rcgp-policy-areas/covid-19-coronavirus.aspx,various links,,,,,
NHS England,https://www.england.nhs.uk/coronavirus/,various links,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,